CAR_SELL_NO,CAR_ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE
1.0,P569221521,11,588951,2023-11-26
2.0,E439425680,8,742328,2023-08-18
3.0,V230132362,30,1554630,2023-08-08
4.0,Q766971885,26,908596,2023-01-10
5.0,A452880887,2,26234,2023-06-20
6.0,V976011513,4,353224,2023-12-20
7.0,B405089269,17,1631320,2023-02-25
8.0,U951547738,27,1615221,2023-08-25
9.0,I287499056,23,1974665,2023-05-16
10.0,B980619690,25,1521725,2023-10-05
11.0,Q753858224,23,2004841,2023-08-22
12.0,X889246355,28,1924468,2023-07-20
13.0,I856285533,29,2785160,2023-04-25
14.0,X131004086,1,59176,2023-02-15
15.0,C692656818,29,363283,2023-10-15
16.0,Z506577709,23,451743,2023-12-28
17.0,F480006937,14,1156106,2023-04-25
18.0,W215461434,26,2306746,2023-10-21
19.0,S513001278,15,971925,2023-12-03
20.0,Q186361741,26,1338948,2023-09-18
21.0,W976725699,14,973294,2023-07-08
22.0,Y182660926,15,935715,2023-01-08
23.0,W667463011,8,552904,2023-11-20
24.0,O458732744,21,1437324,2023-04-15
25.0,Z835518442,24,1603752,2023-11-13
26.0,P536025382,22,324478,2023-10-28
27.0,N392819870,9,858420,2023-05-13
28.0,C676921197,15,185265,2023-06-24
29.0,E455667323,15,540885,2023-04-07
30.0,C392903721,19,1847123,2023-11-14
31.0,C291173995,22,488224,2023-02-13
32.0,H905617007,14,1072568,2023-12-06
33.0,S720565277,23,1454543,2023-12-08
34.0,U828265421,24,1952520,2023-07-17
35.0,K648253971,24,2037072,2023-09-26
36.0,N335389271,11,1020305,2023-12-28
37.0,K956424091,18,459504,2023-12-19
38.0,H669884465,14,438312,2023-11-06
39.0,G440036261,15,960090,2023-03-16
40.0,H931881461,19,1522375,2023-04-06
41.0,Q794367626,30,1630680,2023-03-21
42.0,N101035737,16,1046544,2023-01-11
43.0,O985700236,18,1656378,2023-08-12
44.0,S668098910,5,92250,2023-05-01
45.0,I476126759,27,2310309,2023-11-20
46.0,E710199367,15,1384275,2023-10-21
47.0,R997976567,2,118652,2023-10-02
48.0,B211972168,1,69061,2023-07-07
49.0,D295292814,21,267372,2023-08-21
50.0,Z363405135,13,1274169,2023-12-13
51.0,V628891543,28,1352204,2023-11-25
52.0,H957734696,8,195776,2023-11-06
53.0,P993704205,22,541354,2023-09-20
54.0,B926164119,20,1733320,2023-04-26
55.0,X460676864,18,885582,2023-08-25
56.0,T394178361,17,294950,2023-04-13
57.0,U129684275,7,357504,2023-02-26
58.0,W177054398,4,389896,2023-02-15
59.0,T338673690,27,77841,2023-06-29
60.0,X592842496,28,1049076,2023-12-13
61.0,G683484616,9,297720,2023-08-12
62.0,A243637392,15,339120,2023-02-08
63.0,H870694072,6,131706,2023-09-01
64.0,T525001063,27,1758375,2023-06-09
65.0,V067743277,28,2773848,2023-03-24
66.0,G627197312,7,492688,2023-10-25
67.0,O271584345,4,385372,2023-05-09
68.0,U267427652,5,91860,2023-07-02
69.0,J430982474,18,580338,2023-07-06
70.0,N368048154,18,822888,2023-03-21
71.0,S207311845,2,189482,2023-12-09
72.0,N250087252,27,2119932,2023-02-05
73.0,K211857013,3,21000,2023-02-09
74.0,Y797907863,10,996560,2023-09-14
75.0,C484508960,1,26470,2023-03-04
76.0,W536888744,22,660946,2023-10-03
77.0,R488380566,22,799524,2023-07-05
78.0,W215461434,30,2661630,2023-10-13
79.0,G661171237,22,783662,2023-07-19
80.0,R685212970,21,116592,2023-09-10
81.0,G245179103,17,60180,2023-01-29
82.0,T394178361,2,34700,2023-02-25
83.0,S720565277,8,505928,2023-08-15
84.0,N979782390,17,1425348,2023-02-19
85.0,Q766971885,3,104838,2023-05-24
86.0,B084899113,28,889728,2023-10-03
87.0,N903170547,25,1482400,2023-06-04
88.0,L942555157,7,266609,2023-10-28
89.0,S289337206,4,274296,2023-01-03
90.0,O002990821,8,720872,2023-07-07
91.0,C087693814,7,261086,2023-04-02
92.0,H866453209,1,52499,2023-02-21
93.0,S894131414,8,612528,2023-11-25
94.0,C633404888,7,129332,2023-11-06
95.0,Z832300084,26,953186,2023-10-08
96.0,Q653675753,11,818301,2023-08-12
97.0,Y613538164,12,768108,2023-11-27
98.0,A296436032,24,658008,2023-05-22
99.0,D508647407,9,190206,2023-11-12
100.0,W890859975,2,110460,2023-12-07
101.0,M929043723,12,896568,2023-02-22
102.0,S729006635,5,364680,2023-03-01
103.0,N101035737,5,327045,2023-04-09
104.0,D825382288,4,240912,2023-09-26
105.0,R897366680,24,778224,2023-07-11
106.0,X731609153,26,1413568,2023-09-06
107.0,W483516717,11,681197,2023-09-04
108.0,Q142940321,24,2062920,2023-11-12
109.0,D082402764,5,434040,2023-02-20
110.0,Y342036938,24,2024352,2023-03-19
111.0,I977809955,18,861570,2023-01-11
112.0,X536101175,18,142416,2023-09-10
113.0,M848371534,18,1011438,2023-10-27
114.0,Q217424420,23,836027,2023-08-06
115.0,F704711829,19,1110835,2023-11-04
116.0,X880159119,12,956748,2023-02-12
117.0,O254429620,9,251172,2023-05-22
118.0,N588786186,29,2423385,2023-06-14
119.0,T058595213,1,69451,2023-01-06
120.0,H797052807,3,74229,2023-05-22
121.0,U407582858,13,1223313,2023-07-19
122.0,J463563068,13,599885,2023-12-22
123.0,X183085995,23,25967,2023-01-21
124.0,L555685191,11,704308,2023-01-26
125.0,D066878020,7,466837,2023-10-05
126.0,W319274254,19,1814975,2023-06-27
127.0,P818844560,4,102200,2023-04-23
128.0,H669884465,18,563544,2023-04-14
129.0,H797052807,18,445374,2023-07-09
130.0,V010582306,23,1714121,2023-03-20
131.0,B018346499,19,1888809,2023-10-17
132.0,A015230780,4,199320,2023-02-14
133.0,L485522619,30,1261140,2023-01-12
134.0,P511871292,1,70431,2023-09-17
135.0,E928878967,8,673736,2023-05-03
136.0,H433423845,23,126937,2023-09-30
137.0,Q217424420,24,872376,2023-12-10
138.0,E288965213,9,119340,2023-11-11
139.0,Y182660926,11,686191,2023-11-01
140.0,C380984978,6,236622,2023-10-12
141.0,Q143926023,3,55431,2023-05-13
142.0,K432300765,23,190578,2023-09-03
143.0,U750243814,16,1411072,2023-03-09
144.0,F012873004,20,186240,2023-08-11
145.0,S466601896,3,136119,2023-03-12
146.0,P314703686,11,346478,2023-01-01
147.0,H870694072,13,285363,2023-08-25
148.0,A723048111,28,940100,2023-11-24
149.0,B025758068,25,1905950,2023-06-28
150.0,D842722205,28,1536332,2023-06-19
151.0,M425445185,13,645593,2023-04-15
152.0,S027552319,10,457470,2023-07-18
153.0,W426789524,6,257142,2023-07-17
154.0,F233952928,13,1195818,2023-08-12
155.0,N674133834,30,1215240,2023-11-28
156.0,U750243814,20,1763840,2023-09-05
157.0,F510555806,22,595122,2023-05-15
158.0,K912404783,23,767809,2023-10-05
159.0,L776796466,2,51134,2023-12-01
160.0,U741951707,21,1534155,2023-11-29
161.0,Y692860867,21,1597869,2023-04-02
162.0,L132949567,29,1378689,2023-06-18
163.0,O892921644,18,130428,2023-12-18
164.0,V982691755,6,15810,2023-12-25
165.0,V628891543,25,1207325,2023-03-24
166.0,Z742478223,10,11230,2023-11-12
167.0,A228947734,23,1287195,2023-01-22
168.0,F983336578,25,2429725,2023-06-18
169.0,P818844560,8,204400,2023-04-18
170.0,I902190783,1,97299,2023-06-27
171.0,Q955787248,28,921788,2023-05-15
172.0,O663336224,29,1228237,2023-02-10
173.0,D697293609,12,272256,2023-07-30
174.0,N588786186,8,668520,2023-10-09
175.0,T439170559,15,542790,2023-07-14
176.0,I142706049,23,1433222,2023-08-05
177.0,K863150356,13,485797,2023-06-07
178.0,V345497468,6,480918,2023-10-01
179.0,Y613538164,18,1152162,2023-07-18
180.0,H194276166,25,2472500,2023-11-26
181.0,M594687357,6,535710,2023-01-22
182.0,M943487957,27,2619459,2023-12-27
183.0,P511871292,4,281724,2023-11-01
184.0,W889091680,26,468104,2023-09-11
185.0,S289337206,19,1302906,2023-12-05
186.0,Q979647062,10,231230,2023-06-16
187.0,U811815132,24,777720,2023-10-10
188.0,P536025382,22,324478,2023-06-01
189.0,K157947778,10,989230,2023-08-11
190.0,H870694072,19,417069,2023-12-06
191.0,W706567633,17,324955,2023-08-18
192.0,D082402764,15,1302120,2023-11-26
193.0,A183314876,17,1341640,2023-12-24
194.0,A775272526,26,301808,2023-11-22
195.0,C087693814,29,1081642,2023-08-05
196.0,C486762080,6,517440,2023-06-23
197.0,E054956624,12,558624,2023-12-05
198.0,W801761065,18,1582542,2023-07-22
199.0,W252106239,23,1813757,2023-04-30
200.0,I000309561,11,769901,2023-01-24
201.0,S414961513,19,694716,2023-11-14
202.0,P314703686,25,787450,2023-09-19
203.0,N392819870,17,1621460,2023-04-03
204.0,N975393626,29,987247,2023-02-02
205.0,G265673900,3,47697,2023-04-12
206.0,Y510598413,6,410166,2023-10-10
207.0,A838680227,21,879396,2023-12-10
208.0,S493682362,11,375111,2023-06-30
209.0,R006393132,4,330548,2023-01-21
210.0,V115176557,3,256515,2023-11-20
211.0,G661171237,14,498694,2023-01-12
212.0,J456097220,16,538240,2023-04-16
213.0,K526395923,22,1276088,2023-10-10
214.0,L976488757,4,224896,2023-08-03
215.0,K060441678,12,825876,2023-01-24
216.0,W747843191,10,290960,2023-11-04
217.0,D243680166,29,2467610,2023-01-07
218.0,V713206780,25,880925,2023-06-29
219.0,S795721496,10,550800,2023-07-26
220.0,E928878967,25,2105425,2023-03-29
221.0,L297770115,12,19020,2023-01-25
222.0,W349969931,20,524880,2023-09-18
223.0,W516605514,4,219840,2023-05-04
224.0,N948004508,17,1393065,2023-08-15
225.0,S082335241,4,307552,2023-08-29
226.0,Z793212332,28,939316,2023-01-04
227.0,E599401013,12,969600,2023-03-12
228.0,K496502540,10,990880,2023-11-29
229.0,L320696214,18,811350,2023-07-10
230.0,T058595213,2,138902,2023-02-17
231.0,R006393132,30,2479110,2023-10-29
232.0,W976944973,27,885168,2023-11-22
233.0,L463133351,5,47185,2023-01-13
234.0,F524136742,18,336690,2023-10-12
235.0,G295849836,26,1205620,2023-01-22
236.0,C502625116,8,317824,2023-01-08
237.0,B084899113,9,285984,2023-03-02
238.0,L708776341,15,304740,2023-01-06
239.0,Q979647062,29,670567,2023-06-03
240.0,H645206822,17,1104864,2023-12-16
241.0,P942578899,3,213765,2023-06-22
242.0,Y937472721,2,51364,2023-05-15
243.0,E262575359,26,884494,2023-07-17
244.0,F173852994,7,672077,2023-01-23
245.0,H874491629,16,1118080,2023-12-04
246.0,Y003939970,13,887640,2023-10-07
247.0,O663336224,14,592942,2023-11-21
248.0,D064426196,13,816140,2023-11-27
249.0,H237881012,26,1528514,2023-12-23
250.0,X754687395,16,1396448,2023-07-03
251.0,E286975003,17,1037952,2023-01-09
252.0,V287280216,10,664280,2023-01-11
253.0,U793064742,9,867402,2023-10-24
254.0,M594687357,20,1785700,2023-04-14
255.0,J853207340,16,976400,2023-09-28
256.0,K496502540,14,1387232,2023-09-24
257.0,P758063670,16,1427392,2023-01-06
258.0,C129010249,23,1516965,2023-07-01
259.0,H625764902,27,2600397,2023-11-08
260.0,Z117933754,16,257424,2023-02-20
261.0,V109431887,27,707265,2023-04-27
262.0,G821038534,10,764700,2023-02-18
263.0,C676921197,5,61755,2023-03-02
264.0,Z012094881,21,330183,2023-05-24
265.0,B863206560,1,3556,2023-01-24
266.0,Q045450506,24,1645008,2023-01-04
267.0,P635231862,25,1311725,2023-01-29
268.0,Z454157415,7,690977,2023-06-25
269.0,U801239842,21,1089144,2023-09-18
270.0,X880159119,5,398645,2023-10-18
271.0,H596256921,9,230607,2023-03-14
272.0,N357761145,10,743560,2023-03-24
273.0,J877656098,22,1966338,2023-04-22
274.0,B657607458,10,747300,2023-01-27
275.0,S336943901,23,887248,2023-09-16
276.0,F524136742,20,374100,2023-05-17
277.0,C010521463,24,744936,2023-04-19
278.0,P461233551,20,864440,2023-06-08
279.0,H956117274,8,555792,2023-08-09
280.0,O963740725,17,1542274,2023-04-06
281.0,B980619690,1,60869,2023-09-07
282.0,E054956624,24,1117248,2023-10-07
283.0,W016325087,10,423770,2023-05-11
284.0,F173852994,18,1728198,2023-05-21
285.0,W801761065,14,1230866,2023-11-05
286.0,B329912694,3,158205,2023-08-08
287.0,L625837335,23,111849,2023-06-11
288.0,M929043723,8,597712,2023-09-04
289.0,N575791329,9,789534,2023-05-06
290.0,B059047199,29,1987428,2023-07-09
291.0,E612715986,28,1339072,2023-10-13
292.0,O516198682,5,253360,2023-03-10
293.0,Y636652899,25,1217550,2023-12-17
294.0,A243637392,28,633024,2023-05-07
295.0,Z117933754,25,402225,2023-04-10
296.0,F657366749,29,1199150,2023-03-18
297.0,B254108403,4,345788,2023-03-05
298.0,X347177369,11,639584,2023-08-01
299.0,N490876449,6,451872,2023-01-01
300.0,W944536769,23,365079,2023-04-30
301.0,D329619475,24,199872,2023-01-13
302.0,F173403811,9,279396,2023-10-29
303.0,G820110350,9,747684,2023-11-29
304.0,E387952749,18,1236438,2023-11-23
305.0,J011162461,3,217341,2023-06-10
306.0,A825837067,26,1799096,2023-04-22
307.0,U496952703,3,83934,2023-01-26
308.0,W038984427,9,772821,2023-09-30
309.0,L213503697,15,605175,2023-03-05
310.0,Q794367626,6,326136,2023-05-09
311.0,V584082770,23,80247,2023-03-19
312.0,H931881461,30,2403750,2023-08-24
313.0,B251054713,26,1158586,2023-11-09
314.0,O002990821,27,2432943,2023-07-06
315.0,G988240777,22,1964798,2023-06-06
316.0,Y692860867,2,152178,2023-09-08
317.0,S155909356,20,179440,2023-03-01
318.0,Q009275024,12,1062456,2023-05-25
319.0,Z348789000,8,396072,2023-12-06
320.0,A595952402,2,159114,2023-03-07
321.0,P236689160,24,1164528,2023-08-14
322.0,Y944324666,7,626500,2023-11-12
323.0,F158695430,19,956688,2023-05-16
324.0,V245404749,29,2289289,2023-02-05
325.0,X488056880,27,604449,2023-05-25
326.0,W239757852,22,1090078,2023-09-18
327.0,W415476513,8,51072,2023-01-19
328.0,A731878913,5,399995,2023-08-05
329.0,Q112016639,30,936120,2023-04-22
330.0,N975393626,2,68086,2023-11-14
331.0,I506707088,4,46328,2023-01-02
332.0,E499740364,6,479310,2023-01-10
333.0,Z048319165,16,646160,2023-02-01
334.0,W801761065,21,1846299,2023-12-16
335.0,V602852900,4,367520,2023-09-20
336.0,C687774164,10,678470,2023-08-17
337.0,G822912920,30,2139060,2023-08-22
338.0,W280805842,5,199065,2023-09-01
339.0,R045212163,1,15789,2023-02-04
340.0,E439214140,22,1739254,2023-05-02
341.0,Q640027190,18,796806,2023-03-28
342.0,C122385066,28,2606100,2023-10-30
343.0,O787758959,17,1244145,2023-06-13
344.0,P797498994,4,264488,2023-02-13
345.0,T534927324,21,1075473,2023-12-29
346.0,U409952614,22,819764,2023-02-14
347.0,S426674954,28,799148,2023-06-23
348.0,C985836169,21,286062,2023-07-10
349.0,Z027365999,3,69108,2023-11-04
350.0,N330988361,13,77701,2023-04-12
351.0,H361190830,11,568469,2023-04-10
352.0,S390408908,1,18992,2023-07-25
353.0,U793064742,10,963780,2023-08-13
354.0,Q933955346,29,1736694,2023-09-04
355.0,W336315175,3,296385,2023-03-20
356.0,G822912920,5,356510,2023-02-17
357.0,S795721496,25,1377000,2023-09-18
358.0,X488056880,7,156709,2023-06-09
359.0,B970071055,22,1674112,2023-10-25
360.0,L535485122,25,565925,2023-10-26
361.0,R063315992,23,487715,2023-01-15
362.0,T629832223,6,277338,2023-09-16
363.0,C303397977,24,199992,2023-05-23
364.0,Y784340727,8,94984,2023-07-27
365.0,F704711829,12,701580,2023-08-28
366.0,V030398847,8,622992,2023-07-22
367.0,J848860027,9,437526,2023-11-22
368.0,P641482926,30,1613130,2023-07-08
369.0,H956117274,23,1597902,2023-02-05
370.0,H850272407,21,1070181,2023-04-01
371.0,W681083986,28,2355472,2023-03-11
372.0,Z917939740,15,891570,2023-02-09
373.0,F167425315,22,386562,2023-07-02
374.0,M848371534,28,1573348,2023-11-15
375.0,O958631113,10,387240,2023-01-08
376.0,N526060534,11,130482,2023-05-09
377.0,C504837061,19,1147695,2023-12-14
378.0,G930346104,4,148768,2023-12-26
379.0,Y692860867,8,608712,2023-11-18
380.0,K675118973,2,14132,2023-04-08
381.0,W976944973,5,163920,2023-02-08
382.0,W245969928,19,1153281,2023-09-28
383.0,N357761145,15,1115340,2023-10-27
384.0,C661008057,9,574461,2023-04-09
385.0,O513345910,25,696475,2023-12-08
386.0,K302758235,3,275076,2023-10-21
387.0,K675118973,12,84792,2023-12-27
388.0,I742402077,26,2027298,2023-04-04
389.0,O958631113,4,154896,2023-02-07
390.0,Y141924972,20,1305760,2023-06-03
391.0,L792975340,23,453445,2023-07-02
392.0,W481618149,6,125928,2023-06-20
393.0,Q753858224,21,1830507,2023-08-02
394.0,O271066400,24,891528,2023-07-26
395.0,B405089269,27,2590920,2023-04-19
396.0,N380701156,4,377368,2023-08-19
397.0,S255811793,6,74574,2023-04-09
398.0,C501309417,19,615163,2023-12-08
399.0,G263512451,22,1773552,2023-10-13
400.0,W915705828,15,950730,2023-09-21
401.0,G061880603,8,347992,2023-08-27
402.0,G555470524,30,1537320,2023-06-23
403.0,F173403811,8,248352,2023-06-26
404.0,N041606838,18,704808,2023-03-14
405.0,D104907146,27,449847,2023-11-11
406.0,Z298650762,19,145711,2023-04-05
407.0,E612715986,8,382592,2023-04-19
408.0,T037773970,26,129506,2023-10-11
409.0,V287280216,22,1461416,2023-11-02
410.0,C278445126,25,2291900,2023-10-19
411.0,H625764902,18,1733598,2023-11-22
412.0,R599842961,11,442134,2023-12-22
413.0,B863206560,11,39116,2023-11-14
414.0,M354903096,30,303420,2023-07-22
415.0,U480695741,10,359990,2023-08-18
416.0,T186807809,9,360675,2023-03-09
417.0,N588786186,7,584955,2023-03-01
418.0,P236689160,17,824874,2023-06-29
419.0,A503624634,22,446710,2023-12-05
420.0,P897836561,22,1581888,2023-08-16
421.0,Y531854286,2,180812,2023-05-18
422.0,Z348789000,6,297054,2023-03-21
423.0,V067743277,3,297198,2023-04-16
424.0,P599487816,1,26582,2023-08-24
425.0,K525466793,10,994380,2023-03-02
426.0,T343341005,3,257583,2023-06-21
427.0,Q707393868,5,350285,2023-09-08
428.0,R997976567,22,1305172,2023-11-02
429.0,J084575704,14,1389808,2023-12-07
430.0,L297770115,26,41210,2023-12-06
431.0,J848860027,13,631982,2023-04-14
432.0,B983913043,30,1980630,2023-09-07
433.0,B089717170,12,594372,2023-07-10
434.0,V549103886,10,664060,2023-05-22
435.0,J430982474,6,193446,2023-12-15
436.0,E962969762,8,390416,2023-06-22
437.0,H235118214,25,1452025,2023-04-16
438.0,S806187736,29,2334268,2023-06-25
439.0,E018566127,7,371875,2023-03-25
440.0,R157835570,21,1536129,2023-05-23
441.0,A731878913,24,1919976,2023-08-13
442.0,R897366680,29,940354,2023-01-23
443.0,W706622358,23,1532145,2023-08-28
444.0,J195103144,12,1065348,2023-05-20
445.0,Y531854286,3,271218,2023-12-08
446.0,I860476817,20,1409580,2023-06-27
447.0,E710199367,22,2030270,2023-09-02
448.0,I073196826,17,248761,2023-10-23
449.0,X581279438,29,2149045,2023-01-14
450.0,Y977661223,1,76403,2023-09-27
451.0,F664920040,4,362280,2023-06-28
452.0,S864116125,17,426785,2023-03-12
453.0,U407582858,1,94101,2023-07-15
454.0,P222000440,2,45390,2023-02-08
455.0,J084575704,15,1489080,2023-06-14
456.0,W801761065,16,1406704,2023-03-29
457.0,G055573166,5,174150,2023-09-07
458.0,K470892417,4,68208,2023-03-15
459.0,X007877659,9,93537,2023-08-01
460.0,D825382288,14,843192,2023-09-13
461.0,Q640027190,4,177068,2023-11-04
462.0,X612165920,25,110150,2023-10-01
463.0,U846505376,12,208704,2023-07-23
464.0,P631023343,27,34884,2023-04-20
465.0,W419312518,28,1716456,2023-06-24
466.0,W890859975,20,1104600,2023-05-23
467.0,F767371153,3,245661,2023-12-05
468.0,A825837067,4,276784,2023-02-13
469.0,Y531854286,28,2531368,2023-08-16
470.0,T273879949,28,1133832,2023-03-15
471.0,G324648022,23,1633023,2023-04-08
472.0,O434938265,18,485784,2023-07-04
473.0,Q794367626,24,1304544,2023-09-14
474.0,B777474272,24,1343928,2023-03-25
475.0,S027552319,30,1372410,2023-11-17
476.0,G263512451,10,806160,2023-05-06
477.0,B289673893,19,990641,2023-01-09
478.0,J853207340,11,671275,2023-07-09
479.0,C647998314,6,503610,2023-08-23
480.0,X612165920,11,48466,2023-04-29
481.0,L144390657,30,1245930,2023-12-08
482.0,G123356987,28,994672,2023-11-06
483.0,T302157461,8,274552,2023-07-02
484.0,W801761065,17,1494623,2023-10-08
485.0,Y937472721,15,385230,2023-02-26
486.0,W516605514,9,494640,2023-05-22
487.0,D566525219,29,1573714,2023-10-01
488.0,Z488013552,3,95259,2023-06-16
489.0,X131735671,2,72054,2023-10-07
490.0,O630529849,10,998960,2023-12-05
491.0,Z900456153,19,1090581,2023-05-14
492.0,F650068521,15,614520,2023-05-08
493.0,L479407622,11,266002,2023-12-28
494.0,N883254755,25,2381450,2023-11-18
495.0,C804462955,8,643816,2023-03-30
496.0,N147457289,18,1002528,2023-04-13
497.0,X963788906,23,1893659,2023-11-13
498.0,L463133351,4,37748,2023-10-06
499.0,M059209480,22,1592206,2023-11-05
500.0,W825671125,19,665076,2022-04-25
501.0,G055573166,27,940410,2022-09-24
502.0,L485522619,17,714646,2022-06-03
503.0,V091858224,19,261022,2022-06-15
504.0,O684748006,2,81672,2022-03-11
505.0,Y087442545,21,1886850,2022-07-29
506.0,M349682280,9,808119,2022-08-02
507.0,I073196826,15,219495,2022-11-21
508.0,S390408908,4,75968,2022-10-21
509.0,P752852630,25,409275,2022-04-16
510.0,D825382288,5,301140,2022-03-08
511.0,K824575389,27,1533249,2022-06-23
512.0,G306245598,21,1950354,2022-12-22
513.0,K963308401,13,939523,2022-01-27
514.0,L597122875,22,1956768,2022-10-17
515.0,W889091680,11,198044,2022-03-28
516.0,C122385066,21,1954575,2022-09-04
517.0,K941882496,9,268695,2022-05-19
518.0,E599401013,28,2262400,2022-01-08
519.0,P672953430,2,13260,2022-05-21
520.0,R882412954,18,750168,2022-10-29
521.0,R599842961,19,763686,2022-06-14
522.0,G901807390,25,2197900,2022-05-20
523.0,E619219917,7,196959,2022-03-28
524.0,B053739247,12,478164,2022-11-28
525.0,A382490538,10,669380,2022-04-19
526.0,Q554464601,28,626136,2022-03-17
527.0,W038984427,3,257607,2022-07-08
528.0,Z936649926,13,1161680,2022-10-03
529.0,R549345070,6,165078,2022-12-23
530.0,B607537518,6,447042,2022-07-08
531.0,V680613595,27,1780299,2022-04-24
532.0,E499740364,9,718965,2022-07-07
533.0,Y141924972,13,848744,2022-09-01
534.0,R243342353,7,13538,2022-04-09
535.0,A010767385,1,15030,2022-05-06
536.0,B384903275,2,109542,2022-06-30
537.0,O482969425,8,330824,2022-04-01
538.0,Y169975239,9,73278,2022-01-19
539.0,S207311845,10,947410,2022-08-08
540.0,C264312257,20,1100920,2022-06-17
541.0,E033775266,29,2537906,2022-12-30
542.0,K941882496,21,626955,2022-02-12
543.0,A659737920,30,561180,2022-09-17
544.0,C824880525,4,60888,2022-07-11
545.0,U711736928,23,1856261,2022-02-27
546.0,H361190830,15,775185,2022-03-02
547.0,V010582306,11,819797,2022-03-13
548.0,S993709882,9,486999,2022-03-05
549.0,P391192927,7,492240,2022-03-25
550.0,G163009033,24,1781760,2022-02-15
551.0,F012873004,10,93120,2022-11-07
552.0,E084008933,2,120380,2022-11-14
553.0,N392819870,29,2766020,2022-11-21
554.0,A644157470,16,1083776,2022-02-11
555.0,B443820780,4,26200,2022-04-17
556.0,B053739247,19,757093,2022-01-03
557.0,J717523165,12,803424,2022-01-03
558.0,P598605230,25,2144850,2022-01-02
559.0,L527089852,19,1443677,2022-11-12
560.0,W890859975,6,331380,2022-02-11
561.0,T395317199,1,7883,2022-05-19
562.0,F895991476,6,382506,2022-10-16
563.0,K967283819,10,207840,2022-08-01
564.0,S993709882,20,1082220,2022-05-03
565.0,K824575389,10,567870,2022-03-06
566.0,X963788906,18,1481994,2022-04-28
567.0,E439214140,23,1818311,2022-12-24
568.0,J084575704,22,2183984,2022-02-27
569.0,R344978972,26,2409264,2022-07-24
570.0,P224250726,5,434975,2022-06-28
571.0,L065474930,28,1101884,2022-07-22
572.0,P223050040,30,140760,2022-06-19
573.0,P569221521,14,749574,2022-12-23
574.0,O903560195,4,222868,2022-06-13
575.0,I287499056,22,1888810,2022-01-30
576.0,J195103144,4,355116,2022-07-14
577.0,R538283140,16,201680,2022-12-19
578.0,S289337206,13,891462,2022-03-19
579.0,H014938554,10,769000,2022-10-29
580.0,P752852630,19,311049,2022-11-12
581.0,J289932404,15,587430,2022-12-12
582.0,X460676864,3,147597,2022-08-02
583.0,S513001278,29,1879055,2022-09-07
584.0,B368741407,15,1434585,2022-11-17
585.0,G263512451,3,241848,2022-11-02
586.0,E710199367,5,461425,2022-06-27
587.0,B482485011,28,255864,2022-08-04
588.0,V584082770,16,55824,2022-08-08
589.0,W036837189,2,10894,2022-08-05
590.0,S493682362,14,477414,2022-08-26
591.0,H529868855,26,2480062,2022-03-13
592.0,D697293609,23,521824,2022-06-14
593.0,S466601896,7,317611,2022-08-14
594.0,V466222140,10,722920,2022-04-17
595.0,L043854502,29,2101224,2022-08-08
596.0,O482969425,18,744354,2022-11-03
597.0,W648466726,19,1770743,2022-09-28
598.0,F033364800,14,171668,2022-10-20
599.0,P829129866,10,984910,2022-02-28
600.0,G679706104,17,585259,2022-11-01
601.0,E650113547,8,381864,2022-01-18
602.0,Z835518442,1,66823,2022-02-24
603.0,B340451218,2,23910,2022-08-03
604.0,H235118214,5,290405,2022-02-10
605.0,E212325485,21,1636908,2022-03-29
606.0,Z900456153,10,573990,2022-05-28
607.0,G123356987,1,35524,2022-05-16
608.0,W481618149,12,251856,2022-03-25
